age,bought_insurance
22,0
25,0
47,1
52,0
46,1
56,1
55,0
60,1
62,1
61,1
18,0
28,0
27,0
29,0
49,1
55,1
25,1
58,1
19,0
18,0
21,0
26,0
40,1
45,1
50,1
54,1
23,0
33,0
30,0
34,0
42,1
48,1
53,1
31,0
35,0
41,1
37,0
57,1
63,1
36,0
24,0
44,1
51,1
43,1
59,1
38,0
20,0
32,0
39,0
64,1
18,0
22,0
46,1
52,1
48,1
45,1
19,0
21,0
28,0
30,0
35,0
55,1
60,1
25,0
50,1
63,1
56,1
18,0
29,0
40,1
58,1
33,0
36,0
27,0
26,0
23,0
42,1
54,1
41,1
31,0
49,1
51,1
44,1
32,0
38,0
20,0
61,1
62,1
59,1
37,0
34,0
43,1
39,0
24,0
25,0
53,1
57,1
55,0
19,0
30,0
33,0
45,1
18,0
46,1
20,0
22,0
50,1
42,1
35,0
60,1
36,0
21,0
28,0
31,0
40,1
26,0
58,1
38,0
64,1
37,0
32,0
54,1
49,1
44,1
24,0
39,0
41,1
43,1
56,1
51,1
27,0
63,1
61,1
18,0
33,0
25,0
34,0
23,0
29,0
48,1
53,1
59,1
62,1
19,0
20,0
45,1
55,1
57,1
46,1
30,0
35,0
50,1
22,0
40,1
52,1
38,0
31,0
21,0
36,0
60,1
42,1
32,0
37,0
58,1
39,0
41,1
28,0
26,0
44,1
49,1
24,0
64,1
34,0
61,1
54,1
19,0
53,1
25,0
27,0
62,1
63,1
33,0
45,1
43,1
29,0
55,1
18,0
59,1
47,1
22,0
31,0
50,1
20,0
51,1
28,0
48,1
